anio,tasa_inflacion_valores_positivos
1935,14.08805031
1936,
1937,2.315325248
1938,
1939,5.965292842
1940,
1941,11.25265393
1942,3.330945559
1943,
1944,3.881439661
1945,22.55434783
1946,18.73614191
1947,14.89505755
1948,18.85680613
1949,34.03144603
1950,22.26561417
1951,50.15979904
1952,19.14890337
1953,
1954,16.00718607
1955,7.441859506
1956,16.73882006
1957,25.4635383
1958,50.83743327
1959,101.6329176
1960,12.11532016
1961,18.78070197
1962,31.76842601
1963,27.67214081
1964,18.10295032
1965,38.19830957
1966,29.93612078
1967,27.35195525
1968,9.563080725
1969,6.662395877
1970,21.74174205
1971,39.12185453
1972,64.14893653
1973,43.76755231
1974,40.08264468
1975,335.0174309
1976,347.5508267
1977,160.4347335
1978,169.844355
1979,139.7355902
1980,87.6348508
1981,131.2722341
1982,209.7357843
1983,433.7024609
1984,687.9672909
1985,385.4177527
1986,81.90644673
1987,174.7938935
1988,387.7201734
1989,4923.722309
1990,1343.920854
1991,83.98693059
1992,17.54587435
1993,7.364981144
1994,3.85438089
1995,1.607754177
1996,0.054311345
1997,0.327996925
1998,0.664478929
1999,
2000,
2001,
2002,40.95286885
2003,3.656320419
2004,6.100981767
2005,12.32650364
2006,9.838187702
2007,21.52057807
2008,20.59850052
2009,18.47365882
2010,27.02886094
2011,23.27552438
2012,23.0060375
2013,31.94382471
2014,39.00824093
2015,31.56890613
2016,31.42846021
2017,25.0392
2018,47.10434808
2019,53.832
2020,36.141
2021,50.942
2022,94.793
